product_id,product_name,category,subcategory,brand,supplier_id,sourcing_country,cost_price,selling_price,reorder_level,active_flag
PROD00001,SmartBuy Wellness Product 001,Health & Beauty,Wellness,SmartBuy,SUP00004,China,96.92,123.73,100,True
PROD00002,TradeSelect Wallpaper Product 002,Paints & Decorating,Wallpaper,TradeSelect,SUP00005,China,98.54,178.14,77,True
PROD00003,PrimeChoice Storage Product 003,Homeware,Storage,PrimeChoice,SUP00005,China,91.15,136.78,63,True
PROD00004,HomePro Bathroom Product 004,Homeware,Bathroom,HomePro,SUP00034,UK,67.28,99.15,51,True
PROD00005,Everyday Essentials BBQ Product 005,Garden & Outdoor,BBQ,Everyday Essentials,SUP00011,China,45.58,77.79,17,True
PROD00006,TradeSelect Plant Care Product 006,Garden & Outdoor,Plant Care,TradeSelect,SUP00022,India,61.56,101.36,75,True
PROD00007,HomePro Bathroom Product 007,Homeware,Bathroom,HomePro,SUP00014,China,117.98,221.84,33,True
PROD00008,ValuePlus BBQ Product 008,Garden & Outdoor,BBQ,ValuePlus,SUP00031,India,82.27,99.43,55,True
PROD00009,HomePro Bathroom Product 009,Homeware,Bathroom,HomePro,SUP00038,UK,56.81,103.24,98,True
PROD00010,ValuePlus Kitchen Product 010,Homeware,Kitchen,ValuePlus,SUP00004,China,35.43,42.61,42,True
PROD00011,SmartBuy Dog Care Product 011,Pet Care,Dog Care,SmartBuy,SUP00013,China,102.15,146.69,63,True
PROD00012,PrimeChoice Wallpaper Product 012,Paints & Decorating,Wallpaper,PrimeChoice,SUP00032,India,66.1,102.92,49,True
PROD00013,ValuePlus Brushes & Rollers Product 013,Paints & Decorating,Brushes & Rollers,ValuePlus,SUP00028,India,31.44,43.61,85,True
PROD00014,TradeSelect Skincare Product 014,Health & Beauty,Skincare,TradeSelect,SUP00001,China,101.63,126.15,17,True
PROD00015,TradeSelect Wallpaper Product 015,Paints & Decorating,Wallpaper,TradeSelect,SUP00007,China,59.5,112.05,25,True
PROD00016,ValuePlus Skincare Product 016,Health & Beauty,Skincare,ValuePlus,SUP00023,India,17.31,21.88,85,True
PROD00017,SmartBuy Kitchen Product 017,Homeware,Kitchen,SmartBuy,SUP00036,UK,5.45,9.0,64,True
PROD00018,Everyday Essentials Bathroom Product 018,Homeware,Bathroom,Everyday Essentials,SUP00009,China,25.78,34.04,83,True
PROD00019,TradeSelect Pet Food Product 019,Pet Care,Pet Food,TradeSelect,SUP00024,India,53.42,87.51,17,True
PROD00020,PrimeChoice Outdoor Furniture Product 020,Garden & Outdoor,Outdoor Furniture,PrimeChoice,SUP00021,India,46.64,75.9,51,True
PROD00021,TradeSelect Cleaning Product 021,Homeware,Cleaning,TradeSelect,SUP00021,India,34.52,43.93,28,True
PROD00022,ValuePlus Hair Care Product 022,Health & Beauty,Hair Care,ValuePlus,SUP00017,China,69.7,139.07,12,True
PROD00023,Everyday Essentials Hair Care Product 023,Health & Beauty,Hair Care,Everyday Essentials,SUP00015,China,45.42,66.1,50,True
PROD00024,Everyday Essentials Wellness Product 024,Health & Beauty,Wellness,Everyday Essentials,SUP00004,China,76.24,92.88,85,False
PROD00025,Everyday Essentials Personal Care Product 025,Health & Beauty,Personal Care,Everyday Essentials,SUP00022,India,107.98,140.01,40,True
PROD00026,PrimeChoice Switches Product 026,Electrical,Switches,PrimeChoice,SUP00003,China,83.25,116.11,63,True
PROD00027,Everyday Essentials Kitchen Product 027,Homeware,Kitchen,Everyday Essentials,SUP00002,China,36.11,63.05,98,True
PROD00028,ValuePlus Small Electrical Product 028,Electrical,Small Electrical,ValuePlus,SUP00002,China,19.07,37.09,95,True
PROD00029,ValuePlus Wellness Product 029,Health & Beauty,Wellness,ValuePlus,SUP00014,China,51.68,78.76,35,True
PROD00030,Everyday Essentials BBQ Product 030,Garden & Outdoor,BBQ,Everyday Essentials,SUP00020,China,67.27,109.72,20,True
PROD00031,ValuePlus Pet Accessories Product 031,Pet Care,Pet Accessories,ValuePlus,SUP00035,UK,20.11,26.72,97,True
PROD00032,Everyday Essentials Skincare Product 032,Health & Beauty,Skincare,Everyday Essentials,SUP00037,UK,24.19,33.73,41,True
PROD00033,HomePro Brushes & Rollers Product 033,Paints & Decorating,Brushes & Rollers,HomePro,SUP00014,China,115.17,200.11,37,True
PROD00034,TradeSelect Storage Product 034,Homeware,Storage,TradeSelect,SUP00010,China,4.51,6.31,69,True
PROD00035,HomePro Lighting Product 035,Electrical,Lighting,HomePro,SUP00019,China,27.86,51.51,84,True
PROD00036,SmartBuy Wallpaper Product 036,Paints & Decorating,Wallpaper,SmartBuy,SUP00029,India,76.48,147.59,100,True
PROD00037,Everyday Essentials Cat Care Product 037,Pet Care,Cat Care,Everyday Essentials,SUP00021,India,92.23,146.35,53,True
PROD00038,HomePro Outdoor Furniture Product 038,Garden & Outdoor,Outdoor Furniture,HomePro,SUP00024,India,38.59,46.82,35,True
PROD00039,Everyday Essentials Interior Paint Product 039,Paints & Decorating,Interior Paint,Everyday Essentials,SUP00032,India,91.95,127.52,21,True
PROD00040,TradeSelect Storage Product 040,Homeware,Storage,TradeSelect,SUP00030,India,105.26,153.95,96,True
PROD00041,SmartBuy Plant Care Product 041,Garden & Outdoor,Plant Care,SmartBuy,SUP00039,UK,11.05,18.82,13,True
PROD00042,SmartBuy Bathroom Product 042,Homeware,Bathroom,SmartBuy,SUP00010,China,37.62,54.43,17,True
PROD00043,SmartBuy Garden Tools Product 043,Garden & Outdoor,Garden Tools,SmartBuy,SUP00021,India,57.19,80.75,68,True
PROD00044,TradeSelect Exterior Paint Product 044,Paints & Decorating,Exterior Paint,TradeSelect,SUP00009,China,85.11,117.86,87,True
PROD00045,TradeSelect Lighting Product 045,Electrical,Lighting,TradeSelect,SUP00013,China,116.52,218.55,29,False
PROD00046,TradeSelect Cables Product 046,Electrical,Cables,TradeSelect,SUP00034,UK,26.62,38.97,90,False
PROD00047,HomePro Cleaning Product 047,Homeware,Cleaning,HomePro,SUP00016,China,69.13,116.15,67,True
PROD00048,TradeSelect Cat Care Product 048,Pet Care,Cat Care,TradeSelect,SUP00034,UK,81.98,151.5,33,True
PROD00049,SmartBuy Bathroom Product 049,Homeware,Bathroom,SmartBuy,SUP00019,China,47.31,80.06,81,True
PROD00050,PrimeChoice Garden Tools Product 050,Garden & Outdoor,Garden Tools,PrimeChoice,SUP00039,UK,41.44,78.89,96,True
PROD00051,SmartBuy Plant Care Product 051,Garden & Outdoor,Plant Care,SmartBuy,SUP00016,China,34.94,56.57,38,True
PROD00052,PrimeChoice Lighting Product 052,Electrical,Lighting,PrimeChoice,SUP00026,India,26.45,49.27,73,True
PROD00053,HomePro Outdoor Furniture Product 053,Garden & Outdoor,Outdoor Furniture,HomePro,SUP00032,India,7.39,11.49,24,True
PROD00054,SmartBuy Dog Care Product 054,Pet Care,Dog Care,SmartBuy,SUP00040,UK,119.87,225.87,50,True
PROD00055,SmartBuy Exterior Paint Product 055,Paints & Decorating,Exterior Paint,SmartBuy,SUP00037,UK,26.05,45.22,69,True
PROD00056,HomePro BBQ Product 056,Garden & Outdoor,BBQ,HomePro,SUP00004,China,54.22,72.69,57,True
PROD00057,Everyday Essentials Brushes & Rollers Product 057,Paints & Decorating,Brushes & Rollers,Everyday Essentials,SUP00003,China,20.35,29.53,70,True
PROD00058,SmartBuy Kitchen Product 058,Homeware,Kitchen,SmartBuy,SUP00033,UK,29.99,58.18,20,True
PROD00059,Everyday Essentials Pet Accessories Product 059,Pet Care,Pet Accessories,Everyday Essentials,SUP00001,China,29.89,40.5,25,True
PROD00060,PrimeChoice BBQ Product 060,Garden & Outdoor,BBQ,PrimeChoice,SUP00002,China,28.14,47.92,57,True
PROD00061,HomePro Cleaning Product 061,Homeware,Cleaning,HomePro,SUP00009,China,103.11,191.52,17,True
PROD00062,Everyday Essentials Wellness Product 062,Health & Beauty,Wellness,Everyday Essentials,SUP00018,China,2.83,3.92,32,True
PROD00063,PrimeChoice Pet Accessories Product 063,Pet Care,Pet Accessories,PrimeChoice,SUP00027,India,83.07,124.85,49,True
PROD00064,ValuePlus Outdoor Furniture Product 064,Garden & Outdoor,Outdoor Furniture,ValuePlus,SUP00032,India,57.24,110.43,54,True
PROD00065,PrimeChoice Wallpaper Product 065,Paints & Decorating,Wallpaper,PrimeChoice,SUP00040,UK,40.42,74.29,89,True
PROD00066,PrimeChoice Personal Care Product 066,Health & Beauty,Personal Care,PrimeChoice,SUP00019,China,72.1,136.29,70,True
PROD00067,HomePro Storage Product 067,Homeware,Storage,HomePro,SUP00003,China,90.57,147.9,24,True
PROD00068,ValuePlus Personal Care Product 068,Health & Beauty,Personal Care,ValuePlus,SUP00005,China,34.3,42.56,84,True
PROD00069,PrimeChoice Skincare Product 069,Health & Beauty,Skincare,PrimeChoice,SUP00008,China,99.18,132.59,25,True
PROD00070,PrimeChoice Cables Product 070,Electrical,Cables,PrimeChoice,SUP00033,UK,92.79,165.65,76,True
PROD00071,SmartBuy Dog Care Product 071,Pet Care,Dog Care,SmartBuy,SUP00024,India,97.95,129.48,46,True
PROD00072,Everyday Essentials Exterior Paint Product 072,Paints & Decorating,Exterior Paint,Everyday Essentials,SUP00007,China,21.1,31.78,32,True
